review,label
한번 쯤 쉼표가 필요한 이세상 모든 그녀들에게 추천합니다.,pos
인디아나 존스 시리즈는 어드벤쳐 놀이동산에 온듯한 느낌을 들게 해준다.,pos
보지마그냥제발제발제발,neg
너무나 인간적인...그래서 사랑할수 밖에 없는 그이름....록키 발보아,pos
원작 반영이라는 것만으로도 멋진 드래곤볼,pos
2012년에 이런 영화가 만들어진게 너무 신기할 정도다...ㅋㅋㅋㅋㅋㅋㅋㅋ,neg
작가미친거아니야 왜이래 상식이없자나 완전정신이상자야  어떻게세이가치 살어！,neg
지금 이영화의 평점은 대한민국 여자들의 수준과 심리가 보이네요 ^^ 영화는 영화입니다 허영심 가득한 한국 여자분들... 꿈에서 깨어나오세요,neg
120회 다 되어야만 모두 밝혀낼 모양인가 봅니다..아님 어떻게 풀어야 할지 아직 답이 안나오나요?정신좀차리고 드라마 만듭시다,neg
포스터의 장면나올때 진짜 지린다,pos
명작입니다 다만 절대 어린이용은 아님,pos
그냥 일본 영화다운 재미없는 영화 말도 안되는 시나리오에 교훈만 쳐던지는 좋은 작품인데 관객이 이해못한다 그러는데 ...이해 못할 께 뭐있나 사형제도 범죄자 인권 논란...일본 문화도 처음 봤을 00년 전후로나 재미있었지 이제  질린다 질려,neg
연기력 심각... 어색하고 어이없는 내용 전개.... 제대로 한 다음 완성 해서 내보이시길... 서우는 예쁜 척 하는 거 때문에 진정성 연기랑은 거리가 멀구나 에효,neg
SF에 관심있는  젊은 세대들이라면 오리지날 이 영화를 꼭 볼 것을 권해드립니다..지금에 비해 컴퓨터 효과가 상대적으로 부족함에도 왜 위대한 영화일 수 밖에 없는지 느껴보세요..,pos
"다시 봐도, 스무번을 넘게 봐도 명작 중 최고의 명작이다",pos
정말 재미없더라,neg
막판 베드신만 보면 된다,neg
마지막 포옹신에서 몇번을 봐도 나는 울었다,pos
진지해서 너무 웃김 ㅋㅋ 웃긴상황에서도 품위와 우아함 진지함을 전혀 빼질 않네 ㅋㅋㅋㅋ,pos
1988년도 영화인만큼 지금 보면 상당히 지루함,neg
완전 저질이네요 이런b급 영화는 만들지 마시길...,neg
"이거 어떤사람이1,2편 그도둑2명이실제로 그함정걸리면  몇번죽나    확인했는데  두사람합쳐서  10번넘게죽음ㅋㅋ",pos
서선생. 뭐하시는가?,neg
한정된 공간에서도 충분히 긴장감넘치고 흥미로운 액션물이 나올수 있다는걸 증명한 명작. 당시로선 발군의 퀄리티였다는건 부정할 수 없을 듯.,pos
뭐야 이거... 견자단이 이런거에 왜 나와??,neg
살다살다 이런 거지같은 영화 첨본다,neg
어떤영화든2편이상만들면지루한영화들만은데 스타워즈는4편까지봤는데도 최고다,pos
어린이들의 우정도 뜨겁다.,pos
이게 진리지.. 내가 페제만큼이나 좋아하는 작품... 작품성은 참 끝내주고 기법도 다양해서 참신하다.,pos
군인에대한 내용 보는데.. 5~60년대 여군사병부분 싹빼고.. 장교만 존재했던것처럼 소개하고 있네요..중요한 부분인데 더 알아봐서 방송됐어야 하는거 아닌가요. 장교보다 많은 사병으로 시작됐습니다.. 누군가 흘린 피와 땀을 없는것으로 만드는 방송이군요.,neg
재밌다 타자기로 존나 긴장감 쩔음,pos
오랜세월이 흐르면 영화의 촌스러움이 묻어나기 마련인데 이 영화는 몇번을 봐도 언제 어디서든 어느나이때도 봐도봐도 질리지 않는다 ~~내가 생각한 영화중에 명작임,pos
"개 재미없다 벡터맨에 나오는 인형탈쓴 괴물인줄,.",neg
